,Year,DOY,HR,Kp index,R-(Sunspot No.),Dst-index-nT,ap_index-nT,f10.7_index,TEC,Latitude,Longitude
143,2019,144,0,10,0,-2,4,68.1,6.527474,0,0
144,2019,145,0,7,0,5,3,68.7,6.225082,0,0
145,2019,146,0,7,0,5,4,69.8,6.3111515,0,0
146,2019,147,0,20,0,-1,8,69.3,6.156608,0,0
147,2019,148,0,17,0,-1,7,70.0,6.650608,0,0
148,2019,149,0,27,7,-15,13,70.1,6.7825584,0,0
149,2019,150,0,20,0,-7,7,70.6,6.411518,0,0
150,2019,151,0,7,0,-8,4,70.6,6.4154735,0,0
151,2019,152,0,7,0,-6,3,71.7,6.5460544,0,0
152,2019,153,0,7,0,0,3,71.9,6.699325,0,0
153,2019,154,0,7,0,4,3,71.8,6.987652,0,0
154,2019,155,0,17,0,-6,6,72.1,6.9114027,0,0
155,2019,156,0,7,0,-8,4,71.8,7.308875,0,0
156,2019,157,0,3,0,0,2,70.9,6.645263,0,0
157,2019,158,0,7,0,2,4,71.0,6.7764807,0,0
158,2019,159,0,27,0,7,20,70.5,7.037102,0,0
159,2019,160,0,13,0,-12,6,70.5,7.121416,0,0
160,2019,161,0,3,0,-3,2,71.0,6.5285745,0,0
161,2019,162,0,3,0,1,2,71.9,6.516091,0,0
162,2019,163,0,7,0,6,3,71.6,6.5338993,0,0
163,2019,164,0,20,0,6,9,69.6,6.5207024,0,0
164,2019,165,0,17,0,-2,6,70.1,6.8291726,0,0
165,2019,166,0,7,0,-2,3,68.8,6.3547173,0,0
166,2019,167,0,7,0,-6,4,68.0,5.9259114,0,0
167,2019,168,0,3,0,-1,2,68.5,5.591877,0,0
168,2019,169,0,7,0,7,3,69.2,5.971001,0,0
169,2019,170,0,7,0,11,3,70.2,5.996855,0,0
170,2019,171,0,17,0,-1,6,69.9,5.971812,0,0
171,2019,172,0,13,0,6,5,68.6,6.3522286,0,0
172,2019,173,0,7,0,5,3,68.6,5.8148565,0,0
173,2019,174,0,3,0,1,2,69.5,5.830889,0,0
174,2019,175,0,10,11,6,4,70.2,5.9781785,0,0
175,2019,176,0,7,12,5,3,70.2,6.226394,0,0
176,2019,177,0,13,7,2,5,70.3,6.647964,0,0
177,2019,178,0,7,0,6,3,69.3,6.410303,0,0
178,2019,179,0,7,0,0,4,70.4,6.23251,0,0
179,2019,180,0,7,5,3,3,69.9,6.4943466,0,0
180,2019,181,0,7,0,6,4,69.7,6.276944,0,0
181,2019,182,0,20,5,-11,8,70.5,6.5244646,0,0
182,2019,183,0,13,0,-9,4,69.5,7.0304074,0,0
183,2019,184,0,7,0,-1,3,69.1,6.5576305,0,0
184,2019,185,0,10,0,-3,4,69.9,6.309454,0,0
185,2019,186,0,10,0,2,4,69.0,6.4961796,0,0
186,2019,187,0,7,0,4,3,68.8,6.3128304,0,0
187,2019,188,0,10,9,2,4,69.6,5.9651556,0,0
188,2019,189,0,17,5,-1,8,68.7,6.4997873,0,0
189,2019,190,0,27,0,-5,15,69.7,6.7134666,0,0
190,2019,191,0,27,0,-19,15,70.1,6.578912,0,0
191,2019,192,0,13,0,-20,6,69.4,5.6882887,0,0
192,2019,193,0,13,0,-16,4,69.0,5.8790083,0,0
193,2019,194,0,13,0,-8,5,68.2,5.720374,0,0
194,2019,195,0,13,0,-4,5,69.4,6.0480995,0,0
195,2019,196,0,17,0,-5,6,69.3,6.0787187,0,0
196,2019,197,0,13,0,-6,4,69.5,5.982269,0,0
197,2019,198,0,13,0,-6,5,70.0,5.788964,0,0
198,2019,199,0,7,0,-3,3,69.2,5.7328577,0,0
199,2019,200,0,7,0,-4,3,68.9,5.7813425,0,0
200,2019,201,0,3,0,0,2,69.1,5.677735,0,0
201,2019,202,0,17,0,2,8,69.8,5.7328577,0,0
202,2019,203,0,17,8,-4,7,69.5,6.6305423,0,0
203,2019,204,0,13,0,-3,5,69.6,6.0469227,0,0
204,2019,205,0,10,0,-1,4,70.0,5.876481,0,0
205,2019,206,0,3,0,-3,2,70.3,6.2662168,0,0
206,2019,207,0,3,0,2,2,69.8,5.9795294,0,0
207,2019,208,0,10,0,3,4,68.7,5.747752,0,0
208,2019,209,0,10,0,1,4,69.2,5.8949256,0,0
209,2019,210,0,10,0,-4,4,68.2,6.2306385,0,0
210,2019,211,0,17,0,1,8,68.3,6.011113,0,0
211,2019,212,0,17,0,2,7,68.9,6.40955,0,0
212,2019,213,0,17,0,0,7,68.8,6.3901796,0,0
213,2019,214,0,7,0,-3,3,68.9,6.3583064,0,0
214,2019,215,0,3,0,4,2,67.7,5.7547946,0,0
215,2019,216,0,7,0,6,3,68.8,5.891318,0,0
216,2019,217,0,40,8,-27,34,70.1,6.0064445,0,0
217,2019,218,0,23,0,-30,10,70.1,5.9162264,0,0
218,2019,219,0,13,7,-22,5,69.9,6.2307544,0,0
219,2019,220,0,13,0,-20,6,70.6,5.9758635,0,0
