,YYYYMMDD,Kp[8],,,,,,,,Sum,Ap[8],,,,,,,,Ap
207,20140727,2-,1+,1+,1,1-,1-,1,1,9-,6,5,5,4,3.0,3.0,4.0,4.0,4.0
208,20140728,2-,2+,3,2-,2,3,2,1+,17,6,9,15,6,7.0,15.0,7.0,5.0,9.0
209,20140729,1-,1+,0+,0+,1-,1,1,0+,6-,3,5,2,2,3.0,4.0,4.0,2.0,3.0
210,20140730,2+,1,0+,0+,1-,1-,0+,0+,6,9,4,2,2,3.0,3.0,2.0,2.0,3.0
211,20140731,1,1,1,1,1,1+,2-,2,10,4,4,4,4,4.0,5.0,6.0,7.0,5.0
212,20140801,2,1+,1-,2-,2,2-,3,3+,16-,7,5,3,6,7.0,6.0,15.0,18.0,8.0
213,20140802,2+,1+,2-,2+,3+,3,1+,2-,17,9,5,6,9,18.0,15.0,5.0,6.0,9.0
214,20140803,1-,3,1-,1+,0+,1,2,2,11,3,15,3,5,2.0,4.0,7.0,7.0,6.0
215,20140804,2+,3,3-,2,2-,2-,3,3+,20-,9,15,12,7,6.0,6.0,15.0,18.0,11.0
216,20140805,2+,2,3-,2-,3-,2,3-,2-,18-,9,7,12,6,12.0,7.0,12.0,6.0,9.0
217,20140806,2,3-,2-,2-,1+,1+,1,1-,12+,7,12,6,6,5.0,5.0,4.0,3.0,6.0
218,20140807,1+,1,1,1,1+,1,2-,1+,10-,5,4,4,4,5.0,4.0,6.0,5.0,5.0
219,20140808,3,3+,2-,2,2-,1-,1-,0+,13+,15,18,6,7,6.0,3.0,3.0,2.0,8.0
220,20140809,0+,1-,1+,1-,1-,0+,1-,0+,5,2,3,5,3,3.0,2.0,3.0,2.0,3.0
221,20140810,1-,0+,1,1+,2,2,4-,2,13,3,2,4,5,7.0,7.0,22.0,7.0,7.0
222,20140811,1,1,1,1-,1+,2,1+,3+,12-,4,4,4,3,5.0,7.0,5.0,18.0,6.0
223,20140812,3-,1+,1,1,1+,3-,4+,4-,18,12,5,4,4,5.0,12.0,32.0,22.0,12.0
224,20140813,2,2,1+,1+,2-,1-,1+,1,11+,7,7,5,5,6.0,3.0,5.0,4.0,5.0
225,20140814,1-,1-,0+,1-,1-,1,1-,2,7-,3,3,2,3,3.0,4.0,3.0,7.0,4.0
226,20140815,1,1-,0+,1-,1+,1+,1-,1+,7+,4,3,2,3,5.0,5.0,3.0,5.0,4.0
227,20140816,0+,0+,0,0+,0,0,0+,1-,2,2,2,0,2,0.0,0.0,2.0,3.0,1.0
228,20140817,1+,1-,0+,2,3-,2,1-,1,11-,5,3,2,7,12.0,7.0,3.0,4.0,5.0
229,20140818,1-,1+,2,0,1-,1+,1+,1,8+,3,5,7,0,3.0,5.0,5.0,4.0,4.0
230,20140819,1-,1-,2,3-,2-,3-,4-,5+,19+,3,3,7,12,6.0,12.0,22.0,56.0,15.0
231,20140820,2+,1-,1+,1+,1+,1,2-,2-,11+,9,3,5,5,5.0,4.0,6.0,6.0,5.0
232,20140821,3,3,2-,2,2,1+,3-,2-,17+,15,15,6,7,7.0,5.0,12.0,6.0,9.0
233,20140822,1,2,0+,0,1-,0+,0,1-,5,4,7,2,0,3.0,2.0,0.0,3.0,3.0
234,20140823,1-,2,1,1-,0+,1+,1,1-,8-,3,7,4,3,2.0,5.0,4.0,3.0,4.0
235,20140824,1-,0+,1-,1-,1+,0,0,0,4-,3,2,3,3,5.0,0.0,0.0,0.0,2.0
236,20140825,0,0+,0,1-,1-,1-,1-,1-,4-,0,2,0,3,3.0,3.0,3.0,3.0,2.0
